id,type,latitude,longitude,date,killedOrWounded,title,description,sources,imageUrl,imageCaption,videoUrl,videoCaption
42,incident,31.55,34.48,2024-03-09,1,1 killed,Israeli troops opened fire on people trying to collect aid-dropped aid packages in northeastern Gaza. ,"<a href=""https://www.aljazeera.com/program/newsfeed/2024/4/5/israeli-forces-kill-palestinian-collecting-aid"" target=""_blank"">Al Jazeera</a>",,,,
43,incident,31.582685,34.480648,2024-03-09,0,No casualties reported,Israeli navy ships off the coast of Gaza fired on people trying to collect air-dropped aid packages on the beach in northern Gaza. No reports of casualties. ,"<a href=""https://twitter.com/QudsNen/status/1766424151965753397"" target=""_blank"">Quds</a><br><a href=""https://t.me/PalpostN/275963"" target=""_blank"">https://t.me/PalpostN/275963</a><br><a href=""https://t.me/beachcamp2/59785"" target=""_blank"">https://t.me/beachcamp2/59785</a><br><a href=""https://t.me/sndnewsa/272417"" target=""_blank"">https://t.me/sndnewsa/272417</a>",,,,
44,incident,31.47977,34.442282,2024-03-09,0,No casualties reported,Israeli helicopter gunfire hit people waiting for aid at the Kuwait Roundabout in Gaza City. No reports of casualties.,"<a href=""https://aje.io/au04rq?update=6346304"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/QudsN/380014"" target=""_blank"">Quds</a><br><a href=""https://t.me/QudsN/380016"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/ytirawi/status/1766586495329018208"" target=""_blank"">Younis Tirawi</a><br><a href=""https://www.aljazeeramubasher.net/news/politics/2024/3/10/%D8%BA%D8%B2%D8%A9-%D9%83%D8%B4%D9%81-%D8%AA%D9%81%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D9%85%D9%86%D8%AA%D8%B8%D8%B1%D9%8A"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aa.com.tr/ar/%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84/%D9%82%D8%AA%D9%84%D9%89-%D9%88%D8%AC%D8%B1%D8%AD%D9%89-%D8%A8%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%8A%D9%86%D8%AA%D8%B8%D8%B1%D9%88%D9%86-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D8%A8%D8%BA%D8%B2%D8%A9/3160135"" target=""_blank"">Anadolu</a><br><a href=""https://twitter.com/QudsNen/status/1766610086531584365"" target=""_blank"">Quds</a>",,,,
45,incident,31.47977,34.442282,2024-03-10,29,"5 killed, 24 wounded",Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Dozens reported wounded. We recorded 24.,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://english.wafa.ps/Pages/Details/142363"" target=""_blank"">Wafa</a><br><a href=""https://www.alhaq.org/ar/advocacy/22796.html"" target=""_blank"">Al-Haq</a>",,,,
46,incident,31.55,34.5,2024-03-10,0,No casualties reported,Israeli troops opened fire on people trying to collect air-dropped aid packages in Beit Lahia. No reported casualties.,"<a href=""https://twitter.com/QudsNen/status/1766801631788597295"" target=""_blank"">Quds</a><br><a href=""https://x.com/AnasAlSharif0/status/1766800510051332197"" target=""_blank"">Anas Al-Sharif</a>",,,,
47,incident,31.47977,34.442282,2024-03-11,45,"7 killed, 38 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. The Israeli military denied that troops had attacked people waiting for aid and said the incident was being investigated ""with the thoroughness that it deserves"". Source say at least 38 wounded. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/QudsNen/status/1767302447465218297"" target=""_blank"">Quds</a><br><a href=""https://drive.google.com/file/d/1P7yQYp7KC2eG711baOY9Ijwa5nht7a4B/view"" target=""_blank"">Euro-Med Monitor</a>",,,,
48,incident,31.47977,34.442282,2024-03-12,29,"9 killed, 20 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. More than 20 wounded, according to sources. We recorded 20. ","<a href=""https://english.wafa.ps/Pages/Details/142420"" target=""_blank"">Wafa</a><br><a href=""https://www.aljazeera.net/news/2024/3/12/%D8%B9%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%B4%D9%87%D8%AF%D8%A7%D8%A1-%D8%A8%D8%BA%D8%B2%D8%A9-%D9%88%D8%B1%D9%81%D8%AD-%D9%88%D8%A7%D9%84%D9%8A%D9%88%D9%86%D9%8A%D8%B3%D9%81"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.youtube.com/watch?v=E_qaxLu-e6I"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.youtube.com/watch?v=8N8lE7zeYjs"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.aljazeera.com/news/liveblog/2024/3/12/israels-war-on-gaza-live-2000-medical-staff-starving-in-north-ministry?update=2767191"" target=""_blank"">Al Jazeera</a><br><a href=""https://t.me/mediagovps/2509"" target=""_blank"">Government Media Office in Gaza</a>",,,,
49,incident,31.28631,34.271887,2024-03-13,27,"5 killed, 22 wounded","An Israeli airstrike hit an UNRWA food distribution centre. At least one UNRWA worker was killed, along with four other civilians, and at least 22 were wounded. ","<a href=""https://www.unrwa.org/newsroom/official-statements/least-one-unrwa-staff-killed-when-israeli-forces-hit-unrwa-centre-used"" target=""_blank"">UNRWA</a><br><a href=""https://www.bbc.com/news/world-middle-east-68557035"" target=""_blank"">BBC</a><br><a href=""https://archive.ph/KzcpA"" target=""_blank"">Reuters</a><br><a href=""https://gaza.forensic-architecture.org/database"" target=""_blank"">Forensic Architecture</a>",,,,
50,incident,31.47977,34.442282,2024-03-13,89,"6 killed, 83 wounded",Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.bbc.com/news/world-middle-east-68557035"" target=""_blank"">BBC</a><br><a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-140-enarhe"" target=""_blank"">OCHA</a><br><a href=""https://twitter.com/QudsNen/status/1768037968235671754"" target=""_blank"">Quds</a><br><a href=""https://twitter.com/HossamShabat/status/1768073100829069318"" target=""_blank"">Hossam Shabat</a><br><a href=""https://www.aljazeera.net/news/2024/3/14/%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D8%A7%D9%81-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D9%85%D9%86%D8%AA%D8%B8%D8%B1%D9%8A"" target=""_blank"">Al Jazeera</a>",,,,
51,incident,31.4476556,34.392875,2024-03-14,34,"10 killed, 24 wounded",An Israeli airstrike hit an aid distribution centre in Nuseirat. Casualties included civilians waiting for aid outside. Sources say dozens wounded. We recorded as 24. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://archive.is/kTTWF"" target=""_blank"">Reuters</a><br><a href=""https://youtu.be/C6jnweYQWPc?t=97"" target=""_blank"">Al Jazeera</a><br><a href=""https://youtu.be/G16biFUygYQ?t=105"" target=""_blank"">Al Ghad</a>",,,,
52,incident,31.47977,34.442282,2024-03-14,175,"20 killed, 155 wounded","Israeli forces, reportedly including troops, tanks, helicopters, and drones fired on people waiting for aid at the Kuwait Roundabout, killing at least 20 and wounding more than 155. The Israeli military claimed casualties were caused by Palestinian gunfire and aid trucks hitting people. The following day, troops reportedly fired on people trying to collect bodies of those killed on 14 March. ","<a href=""https://reliefweb.int/report/occupied-palestinian-territory/hostilities-gaza-strip-and-israel-flash-update-140-enarhe"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://archive.is/LUE17"" target=""_blank"">Washington Post</a><br><a href=""https://www.wafa.ps/Pages/Details/91823"" target=""_blank"">Wafa</a><br><a href=""https://t.me/MOHMediaGaza/5174"" target=""_blank"">Gaza Ministry of Health</a>",,,,
53,incident,31.504332,34.416062,2024-03-15,3,3 killed,"Israeli drones fired on people waiting for aid on al-Rashid Street, near Gaza City. Some sources report others wounded but are inconclusive. ","<a href=""https://t.me/saedalzaneen8/100321"" target=""_blank"">Saed Al-Zaneen</a><br><a href=""https://t.me/saedalzaneen8/100322"" target=""_blank"">Saed Al-Zaneen</a><br><a href=""https://t.me/muhamadalsharif/388982"" target=""_blank"">Muhammad Al-Sharif</a><br><a href=""https://t.me/safaps/198465"" target=""_blank"">Safa Press</a><br><a href=""https://t.me/almayadeen/216135"" target=""_blank"">Al Mayadeen</a><br><a href=""https://t.me/QudsN/382130"" target=""_blank"">Quds</a>",,,,
54,incident,31.47977,34.442282,2024-03-15,3,"1 killed, 2 wounded","Israeli troops opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. A number wounded, according to sources. We recorded two wounded. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://twitter.com/QudsNen/status/1768592491907780792"" target=""_blank"">Quds</a><br><a href=""https://x.com/AJArabic/status/1768672253884211540"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.youtube.com/watch?v=MmSJQ6PVzqc"" target=""_blank"">Al Jazeera</a>",,,,
55,incident,31.47977,34.442282,2024-03-15,4,"1 killed, 3 wounded",Israeli troops again opened fire on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources report several or a number wounded. We recorded three. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>
<br>
<a href=""https://www.ajnet.me/news/2024/3/19/23-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%A3%D9%82%D9%84-%D9%81%D9%8A-%D9%82%D8%B5%D9%81-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84"" target=""_blank"">Al Jazeera</a>
<br>
<a href=""https://www.aa.com.tr/en/middle-east/palestinian-aid-official-killed-in-israeli-airstrike-in-gaza-city/3169523"" target=""_blank"">Anadolu</a>
<br>
<a href=""https://www.madamasr.com/en/2024/03/20/news/u/israel-kills-23-aid-distribution-committee-members-in-northern-gaza/"" target=""_blank"">Mada Masr</a>
<br>
<a href=""https://alqaheranews.net/news/73185/%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D9%8A%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%85%D8%AF%D9%8A%D8%B1-%D8%B7%D9%88%D8%A7%D8%B1%D8%A6-%D8%BA%D8%B1%D8%A8-%D8%BA%D8%B2%D8%A9-%D8%AE%D9%84%D8%A7%D9%84-%D8%AA%D8%A3%D9%85%D9%8A%D9%86%D9%87-%D8%AF%D8%AE%D9%88%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA"" target=""_blank"">Al Qahera News</a>
<br>
<a href=""https://t.me/QudsN/383830"" target=""_blank"">Quds</a>
<br>
<a href=""https://archive.ph/kT1po"" target=""_blank"">Le Monde</a>",,,,
56,incident,31.47977,34.442282,2024-03-19,26,"24 killed, 2 wounded",Israeli airstrike hit people securing an aid convoy and waiting crowds near the Kuwait Roundabout in Gaza City. Reports range from 20 to 40 killed and others wounded. We recorded 24 killed and two wounded based on reports from the following day. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>
<br><a href=""https://t.me/QudsN/384283"" target=""_blank"">Quds</a>
<br>
<a href=""https://t.me/QudsN/384370"" target=""_blank"">Quds</a>",,,,
57,incident,31.47977,34.442282,2024-03-21,0,No casualties reported,Israeli tanks fired on people waiting for aid near the Kuwait Roundabout in Gaza City. Sources say casualties are unknown.,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>
<br>
<a href=""https://t.me/QudsN/384283"" target=""_blank"">Quds</a>
<br>
<a href=""https://t.me/QudsN/384370"" target=""_blank"">Quds</a>",,,,
58,incident,31.47977,34.442282,2024-03-23,46,"23 killed, 23 wounded",Israeli tanks fired on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>
<br>
<a href=""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-146"" target=""_blank"">OCHA</a>
<br>
<a href=""https://www.aa.com.tr/en/middle-east/palestinian-aid-official-killed-in-israeli-airstrike-in-gaza-city/3169523"" target=""_blank"">Anadolu</a>
<br>
<a href=""https://edition.cnn.com/2024/03/23/world/palestinians-killed-israeli-military-gazan-authorities/index.html"" target=""_blank"">CNN</a>
<br>
<a href=""https://twitter.com/QudsNen/status/1771519228169818585"" target=""_blank"">Quds</a>
<br>
<a href=""https://twitter.com/QudsNen/status/1771499649158750503"" target=""_blank"">Quds</a>
<br>
<a href=""https://twitter.com/QudsNen/status/1771496312053154198"" target=""_blank"">Quds</a>
<br>
<a href=""https://twitter.com/QudsNen/status/1771493527744070115"" target=""_blank"">Quds</a>
<br>
<a href=""https://www.aljazeera.net/news/2024/3/24/%D9%82%D8%AA%D9%84%D9%88%D9%87%D9%85-%D9%88%D9%87%D9%85-%D8%B5%D8%A7%D8%A6%D9%85%D9%88%D9%86-%D9%85%D8%AC%D8%B2%D8%B1%D8%A9-%D8%AF%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA"" target=""_blank"">Al Jazeera</a>",,,,
59,incident,31.47977,34.442282,2024-03-24,3,"1 killed, 2 wounded ",Israeli troops fired on people securing an aid convoy and waiting crowds near the Kuwait Roundabout in Gaza City. Some sources report three killed. We recorded one.,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>
<br>
<a href=""https://www.aljazeera.com/news/liveblog/2024/3/24/israels-war-on-gaza-live-19-killed-as-israel-again-fires-on-aid-seekers?update=2795254"" target=""_blank"">Al Jazeera</a>
<br>
<a href=""https://t.me/QudsN/385421"" target=""_blank"">Quds</a>
<br>
<a href=""https://gaza.forensic-architecture.org/database"" target=""_blank"">Forensic Architecture</a>",,,,
60,incident,31.4747,34.4736,2024-03-25,16,"14 killed, 2 wounded",Israeli forces hit a group of people trying to collect air-dropped aid packages near the Karni crossing in northern Gaza.,"<a href=""https://t.me/AjaNews/255675"" target=""_blank"">Al Jazeera</a>
<br>
<a href=""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-147"" target=""_blank"">OCHA</a>",,,,
61,incident,31.47977,34.442282,2024-03-25,2,2 killed,Israeli artillery strike hit people securing an aid convoy and waiting crowds near the Kuwait Roundabout in Gaza City. ,"<a href=""https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-147"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.wafa.ps/pages/details/92434"" target=""_blank"">Wafa</a><br><a href=""https://twitter.com/QudsNen/status/1772348399238500752"" target=""_blank"">Quds</a>",,,,
62,incident,31.55,34.52,2024-03-27,3,"1 killed, 2 wounded",Israeli troops fired on people waiting for an aid convoy near Beit Hanoun. Sources report one to six killed and a number wounded. We recorded one killed and two wounded.   ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://t.me/QudsN/386593"" target=""_blank"">Quds</a><br><a href=""https://t.me/QudsN/386614"" target=""_blank"">Quds</a>",,,,
63,event,,,2024-03-28,,International Court of Justice second provisional measure order,"The International Court of Justice issued a second provisional measure order in the case brought by South Africa accusing Israel of committing genocide in Gaza. In addition to the measures ordered in January, the court called on Israel to ""take all necessary and effective measures to ensure, without delay, in full co-operation with the United Nations, the unhindered provision at scale by all concerned of urgently needed basic services and humanitarian assistance, including food, water, electricity, fuel, shelter, clothing, hygiene and sanitation requirements, as well as medical supplies and medical care to Palestinians throughout Gaza"".",,,,,
64,incident,31.5011,34.4683,2024-03-28,6,6 killed,"Israeli gunfire and shelling hit people waiting for aid in Shuja'iyya, Gaza City. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.wafa.ps/Pages/Details/92660"" target=""_blank"">Wafa</a>",,,,
65,incident,31.47977,34.442282,2024-03-30,7,7 wounded,"In the first of two incidents on the same day, Israeli troops fired on people waiting for aid near the Kuwait Roundabout in Gaza City. ","<a href=""https://twitter.com/QudsNen/status/1773979351874195546"" target=""_blank"">Quds</a><br><a href=""https://t.me/almayadeen/218885"" target=""_blank"">Al Mayadeen</a><br><a href=""https://www.wafa.ps/pages/details/92788"" target=""_blank"">Wafa</a>",,,,
66,incident,31.47977,34.442282,2024-03-30,42,"12 killed, 30 wounded","In a second incident, Israeli troops fired on people securing an aid convoy and waiting crowds near the Kuwait Roundabout in Gaza City. Sources report at least 12 people killed. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://english.wafa.ps/Pages/Details/142859"" target=""_blank"">Wafa</a><br><a href=""https://www.aljazeera.com/news/liveblog/2024/3/31/israels-war-on-gaza-live-hundreds-killed-in-al-shifa-hospital-siege?update=2808840"" target=""_blank"">Al Jazeera</a><br><a href=""https://aje.io/sknp3l?update=2808490"" target=""_blank"">Al Jazeera</a>",,,,
67,event,,,2024-04-01,,World Central Kitchen killings,"Israeli drones strikes targeted a three-car convoy from the World Central Kitchen, killing seven aid workers. Six of those killed were from Western countries, and one was Palestinian. International condemnation over the killings put pressure on Israel to faciliate aid deliveries and to do more to protect aid workers and people recieving aid.",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2025-09/02GazaDataIMG.jpg.webp?itok=7_MJrUCv,Majdi Fathi/NurPhoto,,
68,incident,31.47977,34.442282,2024-04-12,4,4 killed,Israeli troops fired on people waiting for aid near the Kuwait Roundabout in Gaza City. ,"<a href=""https://t.me/ismail_gh2/655"" target=""_blank"">Ismail Al-Ghoul</a><br><a href=""https://x.com/ytirawi/status/1778752492295061794"" target=""_blank"">Younis Tirawi</a>",,,,
69,incident,31.545,34.495,2024-04-23,2,2 wounded,"Israeli troops fired on people waiting for aid west of Beit Lahia. Multiple people wounded, according to sources. We recorded two.","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://t.me/AjaNews/262630"" target=""_blank"">Al Jazeera</a><br><a href=""https://twitter.com/AnasAlSharif0/status/1782713015755853882"" target=""_blank"">Anas Al-Sharif</a><br><a href=""https://t.me/safaps/205792"" target=""_blank"">Safa</a>",,,,
72,event,,,2024-05-01,,Erez West/Zikim crossing in northern Gaza opens,"Israel allows a humanitarian convoy to enter Gaza through the northern Erez West/Zikim border crossing for the first time since the beginning of the war. The opening of the crossing is officially announced on 12 May. However, Israeli authorities only allow small amounts of aid to enter, and aid groups aren't able to transport supplies entering through the north to the south of Gaza, where the majority of the enclave's population has been displaced. ",,,,,
70,incident,31.47977,34.442282,2024-05-02,3,"1 killed, 2 wounded","Israeli forces fired on an aid convoy shortly after it entered northern Gaza, killing a driver. Artillery hit the area shortly after. In addition to the driver who was killed, sources say a number of people were wounded. We recorded two.","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://t.me/newpress1/73491"" target=""_blank"">NewPress</a><br><a href=""https://t.me/QudsN/400340"" target=""_blank"">Quds</a><br><a href=""https://x.com/QudsNen/status/1786014388991717472"" target=""_blank"">Quds</a><br><a href=""https://x.com/QudsNen/status/1786102623386407268"" target=""_blank"">Quds</a>",,,,
71,event,,,2024-05-06,,Invasion of Rafah,"Israel launches a full-scale ground invasion of Rafah, the southernmost city in Gaza. Rafah had become a refuge for over 1 million Palestinians displaced from other parts of Gaza. The city was also the logistics and operations hub for international aid organisations. During the invasion, Israel seized control of the Rafah border crossing, one of the main entry points for aid, forcing it to close. The Kerem Shalom crossing technically remained open, according to Israel, but aid groups said military operations in the vicinity of the crossing made it impossible to transport and distribute supplies.",,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2024-05/header-UNRWA-Rafah-Q%26A_0.jpg.webp?itok=gcMQCmUt,Majdi Fathi/NurPhoto,,
73,event,,,2024-05-17,,US floating aid pier begins operating,The first aid delivery to Gaza via the US-built floating aid pier is completed. The pier is heavily criticised as a costly and ineffective distraction that won't address widespread hunger in Gaza. ,,https://assets.thenewhumanitarian.org/s3fs-public/styles/responsive_large_2x/public/2024-07/header-US-Pier-Dismantle.jpg.webp?itok=AHR7UMdQ,Dawoud Abo Alkas/Anadolu,,
74,incident,31.504332,34.416062,2024-05-19,0,No casulaties reported,"Israeli helicopters fire on people waiting for aid near the beach in northern Gaza, shortly after the American aid pier opened. No casualties were reported.","<a href=""https://t.me/refugeesp/33004"" target=""_blank"">https://t.me/refugeesp/33004</a><br><a href=""https://t.me/hamza20300/243856"" target=""_blank"">https://t.me/hamza20300/243856</a>

",,,,
75,incident,31.45,34.4,2024-05-21,0,No casulaties reported,Israeli artillery fire lands near people waiting for aid deliveries near the new American aid pier. No casualties were reported.,"<a href=""https://t.me/hamza20300/244693"" target=""_blank"">https://t.me/hamza20300/244693</a><br><a href=""https://t.me/hamza20300/244692"" target=""_blank"">https://t.me/hamza20300/244692</a>",,,,
76,incident,31.41783,34.35033,2024-05-23,15,15 killed,"Israeli airstrike hits a warehouse used for food aid, killing at least 15 people outside, including women and children.","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>







",,,,
77,event,,,2024-05-24,,The International Court of Justice issues a third set of provisional measures,"The ICJ orders Israel to halt the Rafah offensive and open the Rafah crossing to allow entry of aid. The court notes previous orders that required the ""unhindered provision at scale by all concerned of urgently needed basic services and humanitarian assistance"".",,,Reuters,,
79,incident,31.42,34.35,2024-06-17,9,9 killed,Israeli artillery fire hits people waiting for aid on Salah al-Din Street in Rafah. Sources say at least nine people were killed.,"<a href=""https://reliefweb.int/report/occupied-palestinian-territory/humanitarian-situation-update-180-gaza-strip-west-bank-enarhe"" target=""_blank"">OCHA</a><br><a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
80,incident,31.51,34.43,2024-06-23,20,"8 killed, 12 wounded","Israeli airstrike hits people securing aid delivery at an UNRWA building used to distribute aid, killing at least eight people and injuring 12. Aid committee members and other civilians waiting to receive aid were among those killed and injured.","<a href=""https://www.unrwa.org/resources/reports/unrwa-situation-report-115-situation-gaza-strip-and-west-bank-including-east-Jerusalem"" target=""_blank"">UNRWA</a><br><a href=""https://www.aljazeera.com/news/2024/6/23/at-least-four-killed-in-israeli-airstrike-on-unrwa-headquarters-in-gaza"" target=""_blank"">Al Jazeera</a>",,,,
81,incident,31.33,34.295,2024-06-24,32,"10 killed, 22 injured","Israeli airstrike hits people securing aid delivery and people waiting for aid. Sources vary on the number of wounded, from unreported to up to 22. We recorded 22 wounded. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.reuters.com/world/middle-east/israel-kills-senior-gaza-health-official-tanks-push-deeper-into-rafah-2024-06-24/"" target=""_blank"">Reuters</a><br><a href=""https://www.wafa.ps/pages/details/98186"" target=""_blank"">Wafa</a><br><a href=""https://t.me/QudsN/425583"" target=""_blank"">Quds</a><br><a href=""https://www.youtube.com/watch?v=5EOWMXez8Qk"" target=""_blank"">Al Ghad</a>",,,,
82,incident,31.533701,34.448318,2024-06-24,6,"3 killed, 3 wounded",Israeli airstrike near food distribution centre kills civilian aid committee members and people waiting for aid. Sources report several wounded. We recorded three. ,"<a href=""https://www.aljazeera.net/news/2024/6/24/%D8%B9%D8%A7%D8%AC%D9%84-%D9%85%D8%B5%D8%A7%D8%AF%D8%B1-%D8%B7%D8%A8%D9%8A%D8%A9-%D9%84%D9%84%D8%AC%D8%B2%D9%8A%D8%B1%D8%A9-19-%D8%B4%D9%87%D9%8A%D8%AF%D8%A7-%D8%A5%D8%AB%D8%B1"" target=""_blank"">Al Jazeera</a><br><a href=""https://www.reuters.com/world/middle-east/israel-kills-senior-gaza-health-official-tanks-push-deeper-into-rafah-2024-06-24/"" target=""_blank"">Reuters</a><br><a href=""https://www.wafa.ps/pages/details/98184"" target=""_blank"">Wafa</a>",,,,
83,incident,31.51,34.45,2024-07-02,10,10 killed,"Israeli fire, likely from artillery, killed people collecting water near a mosque in Gaza City. ","<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.wafa.ps/pages/details/98625"" target=""_blank"">Wafa</a>",,,,
84,incident,31.35,34.315,2024-07-07,3,3 killed,Israeli airstrike hits people waiting for aid near Khan Younis. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a>",,,,
999,event,,,2024-07-17,,US floating aid pier shut down,"After just two tricky months of use, the US officially shut down the aid pier on 17 July. It ended up delivering the equivalent of one day's worth of food at a cost of $230 million. ",,,,,
85,incident,31.42,34.35,2024-07-19,1,1 killed ,Israeli drone strike hits a bakery in Deir al-Balah. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://x.com/NewpressPs/status/1814381316026126407"" target=""_blank"">NewPress</a><br><a href=""https://t.me/hamza20300/271733"" target=""_blank"">https://t.me/hamza20300/271733</a><br><a href=""https://t.me/hamza20300/271739"" target=""_blank"">https://t.me/hamza20300/271739</a><br><a href=""https://t.me/hamza20300/271738"" target=""_blank"">https://t.me/hamza20300/271738</a>",,,,
86,incident,31.51,34.45,2024-07-21,1,1 wounded,Israeli airstrike injured at least one person collecting water near a mosque in Gaza City. ,"<a href=""https://acleddata.com/conflict-data/data-export-tool"" target=""_blank"">ACLED</a><br><a href=""https://www.facebook.com/AlHadath.Palestine/photos/%D8%A5%D8%B5%D8%A7%D8%A8%D8%A9-%D9%85%D9%88%D8%A7%D8%B7%D9%86-%D8%A3%D8%AB%D9%86%D8%A7%D8%A1-%D8%AA%D8%B9%D8%A8%D8%A6%D8%A9-%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87-%D8%AC%D8%B1%D8%A7%D8%A1-%D9%82%D8%B5%D9%81-%D9%85%D8%AF%D9%81%D8%B9%D9%8A-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D8%A8%D9%85%D8%AD%D9%8A%D8%B7-%D9%85%D8%B3%D8%AC%D8%AF-%D8%A7%D9%84%D8%A3%D8%A8%D8%B1%D8%A7%D8%B1-%D9%81%D9%8A-%D8%B4%D8%A7%D8%B1/122188507490091288/"" target=""_blank"">Al Hadath Palestine</a>",,,,
88,incident,31.53722,34.49639,2024-09-02,10,"8 killed, 2 wounded",Israeli airstrike killed civilians waiting for bread at a stand outside an UNRWA shelter in Jabalia. Sources report eight killed and others wounded. We recorded two wounded.,"<a href=""https://gaza.forensic-architecture.org/database"" target=""_blank"">Forensic Architecture</a><br><a href=""https://x.com/AJEnglish/status/1830885945417293948"" target=""_blank"">Al Jazeera</a>",,,,
